,genes
391,CLEC10A
392,TNFAIP2
393,CST7
394,CMC1
395,MCEMP1
396,DUSP2
397,MS4A7
398,CALD1
399,TNF
400,IFITM1
401,ANXA3
402,JUND
403,CTSD
404,TRAV13-1
405,RARRES1
406,TYMS
407,TRAV27
408,CDC20
409,EEF1G
410,TRAV8-1
411,FCGBP
412,CPM
413,PENK
414,GYPB
415,RBP4
416,IL6
417,SPARC
418,ANPEP
419,TXNDC5
420,PCLAF
421,TRAV8-4
422,MMP1
423,GP1BA
424,LMNA
425,TRBV28
426,RPH3A
427,TRAV9-2
428,CD79A
429,RGCC
430,TRBV15
431,OLAH
432,KLRD1
433,TUBB
434,MSX1
435,SPTA1
436,NLRP3
437,MAFB
438,HMGB2
439,ATF3
440,LPL
441,COL1A2
442,PCDH9
443,MMRN1
444,CDO1
445,PTX3
446,TRAV38-1
447,LST1
448,AQP9
449,RGS16
450,ANXA1
451,HLA-DRB5
452,TRAV1-1
453,MS4A4A
454,RRAD
455,S100A6
456,TGM2
457,CD207
458,TRDC
459,CLDN5
460,ASPM
461,TRAV12-1
462,ALOX5AP
463,SRGN
464,MAP3K7CL
465,KLRC1
466,HLA-DQA1
467,DAB2
468,IL32
469,CSF1
470,CDK1
471,DUSP1
472,TNIP3
473,DNAJA4
474,TRAV14DV4
475,CXCL12
476,SCGB3A2
477,CLIC3
478,CD14
479,TRDV1
480,VNN2
481,MSR1
482,ITGB3
483,PIGR
484,HEMGN
485,SERPING1
486,TCHH
487,TYROBP
488,TRAV30
489,PLAT
490,NMB
491,ENKUR
492,PLEK
493,TRAV1-2
494,TRAV20
495,RASD1
496,CEBPD
497,TUBA1B
498,IGHE
499,WFDC2
500,TRAV5
501,IFIT1B
502,SLC18A2
503,DERL3
504,SERPINA1
505,FCGR3A
506,CTSW
507,PLA2G2D
508,ORM1
509,CCL19
510,MGAM
511,TRAV8-6
512,IFIT2
513,ULK1
514,RAG1
515,VPREB3
516,CD79B
517,SERPINE1
518,SCGB3A1
