,genes
1678,SECTM1
1679,USP10
1680,SCARA5
1681,CITED4
1682,CNTNAP2
1683,AFAP1
1684,SEC11C
1685,BCL11B
1686,MAPK14
1687,ZNF80
1688,CLDN9
1689,ITGB8
1690,TCF7L2
1691,ZBTB16
1692,NEK8
1693,TMIGD2
1694,FAM81B
1695,LINC02207
1696,C3AR1
1697,PTMS
1698,CD109
1699,ABCA5
1700,CENPU
1701,NRXN2
1702,MYO6
1703,ZNF608
1704,GPRC5A
1705,IGFBP4
1706,ZNF90
1707,L3MBTL4
1708,PEAR1
1709,TAGLN2
1710,TUT7
1711,MIR3681HG
1712,MCF2
1713,MSRB1
1714,SIRT3
1715,P4HA2
1716,ABCC2
1717,ADARB1
1718,NUP214
1719,INHBB
1720,DHCR24
1721,TKT
1722,PTGER4
1723,EIF4ENIF1
1724,GNAL
1725,EVC2
1726,DDX39A
1727,JDP2
1728,AQP3
1729,RBMS3
1730,DEF8
1731,RPL10
1732,GJC1
1733,SRSF12
1734,ICA1L
1735,FCRL3
1736,ASPRV1
1737,IL12RB1
1738,PIM2
1739,RNF149
1740,HJURP
1741,TTC38
1742,FAM107B
1743,ITGB1
1744,OR2B6
1745,RABGEF1
1746,NNAT
1747,ZFHX3
1748,ZNF674-AS1
1749,WIPF3
1750,RHOT2
1751,DGKH
1752,CENPM
1753,CISH
1754,MCOLN1
1755,DLL1
1756,RORC
1757,SLCO3A1
1758,TXK
1759,SERPINB1
1760,LEPR
1761,MCC
1762,SPSB1
1763,HMGB3
1764,ANXA5
1765,NFRKB
1766,UBB
1767,CSNK1D
1768,FRMD4B
1769,NCAM1
1770,TYW1
1771,FAM174B
1772,ANKRD55
1773,NCOA4
1774,MMP17
1775,LINC02227
1776,NT5M
1777,SCD5
1778,COL19A1
1779,KDM7A
1780,PLCB1
1781,SPATA6L
1782,ID1
1783,CNTROB
1784,UACA
1785,CYP4F12
1786,ARHGAP29
1787,CELSR1
1788,AIM2
1789,PRR14
1790,LINC00664
1791,NEK5
1792,ATXN1
1793,LHX4
1794,KAZN
1795,TTC21A
1796,MIR503HG
1797,RBM38
1798,POU2AF1
1799,ACKR3
1800,LEF1
1801,TMEM260
1802,ENO2
1803,OTUD1
1804,ZC3H8
1805,STK11IP
1806,TRAF1
1807,ALPK1
1808,EGF
1809,NPW
1810,BMP2
1811,SPAG5
1812,DES
1813,CD82
1814,TFCP2L1
1815,AGMAT
1816,GLIS3
1817,BCAS2
1818,MAL
1819,PIKFYVE
1820,NADK
1821,LINC02029
1822,KLHDC1
1823,MTSS1
1824,ODC1
1825,DOK5
1826,LINC02605
1827,ITGA1
1828,RIN2
1829,DLC1
1830,LAMP5
1831,CUL5
1832,LAT
1833,PAGE5
1834,ACKR4
1835,FKBP9
1836,TIE1
1837,TLN1
1838,NCF4
1839,ZSCAN31
1840,SLCO4A1
1841,GAN
1842,ZC3H18
1843,YES1
1844,SLC35F2
1845,GAS1
1846,CFAP70
1847,SYTL2
1848,LINC01506
1849,C2CD4A
1850,KLF5
1851,PCF11
1852,CTDSP1
1853,POU3F1
1854,SRGAP2
1855,CETN2
1856,NFKB1
1857,PRDM16
1858,NAA15
1859,MAU2
1860,STX7
1861,SCUBE3
1862,CDCA7L
1863,LINC01562
1864,GIPC2
1865,SLC23A2
1866,PLEKHG3
1867,CC2D2B
1868,RPLP1
1869,AKR1B1
1870,TMCC1
1871,GLA
1872,MEIOC
1873,SMARCA4
1874,IER5L
1875,TNFSF10
1876,LIMK2
1877,MAPK10
1878,CAV2
1879,FBXO38
1880,SGSH
1881,FNDC3A
1882,ATP6V0D1
1883,VSTM2L
1884,APOBEC3D
1885,ADAM12
1886,LMO4
1887,PLEKHN1
1888,LINC01792
1889,PVALB
1890,FPR3
1891,BHLHE41
1892,SCX
1893,TGFBR3
1894,SYCP2
1895,FES
1896,PDGFB
1897,RAB15
1898,KRT7
1899,VIPR2
1900,LRFN1
1901,CMTM8
1902,MCL1
1903,LRRC74B
1904,ZFYVE9
1905,SERPINE3
1906,FLRT2
1907,WDFY2
1908,IKZF2
1909,SAMD9
1910,GIMAP7
1911,FBXL18
1912,SLC5A5
1913,GPAT4
1914,GNG8
1915,NBEAL1
1916,ARHGAP18
1917,NPRL2
1918,ARHGAP24
1919,NUP85
1920,TAGAP
1921,PAXBP1
1922,FGF14-AS2
1923,RPS6KA2
1924,FSCN1
1925,ATP13A3
1926,FFAR3
1927,ISL2
1928,ANKRD20A1
1929,NACAD
1930,LZIC
1931,ELOVL7
1932,RNF19B
1933,TCF7
1934,SPIDR
1935,CTDSPL
1936,FDXR
1937,PRKCG
1938,ANXA4
1939,EYS
1940,ZBTB20-AS4
1941,PRDX4
1942,LDHAL6A
1943,UBE2T
1944,B4GALT5
1945,SLC2A1
1946,FCRL2
1947,IL18
1948,EXOC6B
1949,NADSYN1
1950,FYB1
1951,XCR1
1952,CEP83
1953,PLAC8
1954,EPHX1
1955,DOCK4
1956,CPD
1957,JAML
1958,PHKA2
1959,IQCG
1960,MYO5A
1961,CEP128
1962,RDH10
1963,B4GALT6
1964,DHX38
1965,ELAVL3
1966,DDB2
1967,SCN8A
1968,RBM14
1969,SAR1B
1970,AKAP9
1971,SELPLG
1972,CASP6
1973,TSPYL1
1974,RASL11B
1975,EZH1
1976,ZNF763
1977,ETS1
1978,IP6K1
1979,AREL1
1980,KAT2A
1981,AVPR1A
1982,LINC01551
1983,SULT1C2
1984,SSBP2
1985,POMT1
1986,RCSD1
1987,TF
1988,SZT2
1989,EFHD2
1990,PIMREG
1991,SHOX2
1992,ZNF714
1993,BLM
1994,SERTAD1
1995,FAM229A
1996,SPRED2
1997,ELAVL4
1998,ZBED4
1999,NFASC
2000,E4F1
2001,ATP6V1D
2002,GH1
2003,ARHGAP33
2004,PER1
2005,FSTL4
2006,DBT
2007,PRIMPOL
2008,MNT
2009,FAM177B
2010,TCF3
2011,CCRL2
2012,PTPRM
2013,PRX
2014,TPO
2015,ZNF75D
2016,GPR84
2017,MYCT1
2018,CNIH3
2019,LINC02580
2020,PDE3A
2021,PRKCB
2022,CNTNAP3B
2023,TMEM79
2024,MCAM
2025,CARD6
2026,TCTN2
2027,ERO1B
2028,TMC5
2029,MT-ND3
2030,SLC45A4
2031,TREML4
2032,TLK1
2033,CD37
2034,SLC22A1
2035,PDE4D
2036,TENT5C
2037,FUCA1
2038,NAPSA
2039,MAML3
2040,TLR8
2041,SYP
2042,EGOT
2043,ITGA6
2044,TDRD9
2045,SIRT5
2046,ENTPD1
2047,EFNB2
2048,SP1
2049,ABHD12B
2050,NFIL3
2051,FCMR
2052,ESR2
2053,FAXDC2
2054,TROAP
2055,KMT2C
2056,DCHS1
2057,POMZP3
2058,BCL11A
2059,IRX3
2060,ASF1B
2061,RBM28
2062,DENND2D
2063,PBX4
2064,SPC25
2065,LTA4H
2066,SH2D1A
2067,KIRREL3
2068,CKAP2L
2069,THSD1
2070,KDM1B
2071,MTFMT
2072,PLEKHM2
2073,SHISA2
2074,KMT5A
2075,SPOCK2
2076,CERS5
2077,WLS
2078,SRSF7
2079,MYLIP
2080,CCR6
2081,SMG8
2082,IFT74
2083,PIP5KL1
2084,PRSS35
2085,IGHMBP2
2086,SPG11
2087,TMEM43
2088,RRP1
2089,ATP11C
2090,SMIM3
2091,TSPAN13
2092,CPA5
2093,ODF3B
2094,GRIPAP1
2095,FAAP24
2096,TSNARE1
2097,CCDC191
2098,TNS3
2099,TMEM184B
2100,ARL5B
2101,ARMC12
2102,MT1F
2103,TAOK1
2104,SYTL4
2105,RUNX3
2106,TUBGCP3
2107,RND1
2108,DZIP3
2109,DIPK1B
2110,ZNF774
2111,TPST1
2112,C4BPB
2113,MTBP
2114,MSLN
2115,SCGB1C1
2116,BTNL8
2117,WDR36
2118,NPIPB12
2119,SEC24A
2120,ANKRD39
2121,TNFSF13B
2122,CEP63
2123,LINC02099
2124,COLGALT1
2125,TRAF2
2126,UNKL
2127,RNF25
2128,LRRC19
2129,YPEL3
2130,STRN4
2131,PLXNB2
2132,NLRP6
2133,NT5DC3
2134,TIFA
2135,AVP
2136,ZNF783
2137,HLX
2138,TP53I13
2139,EMB
2140,NCR1
2141,APC
2142,GYG1
2143,MYT1L
2144,RPS26
2145,TRIM24
2146,TRAT1
2147,LINC00671
2148,UPP1
2149,OXSM
2150,AGTRAP
2151,WDR97
2152,LYAR
2153,PPP2R2D
2154,MEF2C
2155,ZNF518B
2156,DNM2
2157,TES
2158,PKIG
2159,TREML2
2160,ADCY9
2161,SAP30
2162,NBPF11
2163,ZBTB40
2164,FEZ1
2165,LINC01176
2166,TPM4
2167,RRP12
2168,MYEOV
2169,LINC00861
2170,FAM43A
2171,CAPN2
2172,ARID3A
2173,CCDC88A
2174,GATM
2175,ARFGEF2
2176,PLPP5
2177,LINC01393
2178,MBD1
2179,FAM9C
2180,PLA2G1B
2181,ANGEL2
2182,FBXW5
2183,LINC02709
2184,HLA-DMA
2185,HGS
2186,ROPN1L
2187,CPT1A
2188,ANKDD1A
2189,SLFN14
2190,TRIM4
2191,ZNF341
2192,DCAF8
2193,POLE
2194,QRICH1
2195,TNPO2
2196,CD200
2197,PAX5
2198,ENOX2
2199,MACROD2
2200,GBF1
2201,SMC1B
2202,TXNDC16
2203,ZNF425
2204,CLIC6
2205,ZMYM2
2206,GTPBP2
2207,RASL11A
2208,RESF1
2209,RHOC
2210,CATIP
2211,MON2
2212,NCAPG
2213,PIK3CB
2214,MAB21L3
2215,CD27
2216,WDHD1
2217,FZD5
2218,FNIP2
2219,MIIP
2220,ATG16L2
2221,ORAI2
2222,HMG20A
2223,ARSD
2224,TSEN2
2225,CCND1
2226,PCP2
2227,FCRL4
2228,NEFL
2229,TCF12
2230,NOM1
2231,SEMA3D
2232,SNX14
2233,RCC1
2234,ADA2
2235,SMAP2
2236,TMEM213
2237,SMURF1
2238,GYPE
2239,TCEAL9
2240,EPAS1
2241,TRPC4AP
2242,KDM5C
2243,INAFM1
2244,SLC19A1
2245,MON1A
2246,DNAL4
2247,WTAP
2248,HMBS
2249,ZDHHC14
2250,PMM1
2251,MBOAT2
2252,FBXO32
2253,CPPED1
2254,SHD
2255,HSD17B12
2256,RBM24
2257,DYNLL1
2258,NBR1
2259,GSTM4
2260,MEIS2
2261,CHAMP1
2262,MGAT1
2263,GIMAP5
2264,KIAA0513
2265,KCTD1
2266,SPEN
2267,PLCB2
2268,PAPSS2
2269,NSUN2
2270,FGFR1
2271,SPRYD3
2272,OGN
2273,STX11
2274,SPPL3
2275,HOXA5
2276,EMCN
2277,SSPN
2278,TOM1
2279,MR1
2280,SLFN11
2281,PTPRN
2282,ETV5
2283,ANKRD36C
2284,BOLA2B
2285,TMEM63C
2286,ARHGAP45
2287,GABARAP
2288,GLYATL2
2289,GABARAPL1
2290,ADA
2291,MTA1
2292,ITGAD
2293,TP53I3
2294,DACH1
2295,DGKG
2296,DNAJC3
2297,TLE6
2298,LIPH
2299,CLDN4
2300,SCIN
2301,TIPARP
2302,HAVCR2
2303,TBC1D14
2304,TMSB15A
2305,NEDD4L
2306,RENBP
2307,ACTG1
2308,METTL6
2309,DHRS12
2310,STK31
2311,FBH1
2312,CCDC125
2313,CLSPN
2314,SLC43A3
2315,CACNA1H
2316,GOLGA3
2317,PIGU
2318,FST
2319,TENM1
2320,SESN1
2321,TUBA1C
2322,F2RL3
2323,NCKAP5L
2324,LINC02067
2325,PKIB
2326,CENPA
2327,COL6A3
2328,IMPG2
2329,IGFBP3
2330,MGST2
2331,GUCY2D
2332,SPATA7
2333,ADSL
2334,GLT1D1
2335,BICDL1
2336,MTIF3
2337,DHX34
2338,CCR4
2339,KLHDC10
2340,PIM1
2341,TMEM144
2342,EBF1
2343,AHCYL2
2344,COL4A1
2345,VPS37A
2346,CD6
2347,TG
2348,DCBLD2
2349,ZNF141
2350,PCSK6
2351,TLL2
2352,FNDC3B
2353,FAM47E
2354,NT5C
2355,PDLIM3
2356,GDE1
2357,UNC13A
2358,FXR2
2359,MIF
2360,GAPDH
2361,PLAAT4
2362,FLT1
2363,GSK3B
2364,ARID5B
2365,GPR108
2366,AGPS
2367,DDX56
2368,MYO1F
2369,WHRN
2370,GRAMD4
2371,COMMD5
2372,CDADC1
2373,NKIRAS1
2374,SMAD9
2375,ENC1
2376,EDNRB
2377,PLA2G15
2378,RNASEK
2379,PBLD
2380,FHOD1
2381,SLC38A7
2382,GLDC
2383,DNMBP
2384,KCTD6
2385,ZNF101
2386,GRB14
2387,BCAT1
2388,KLF10
2389,DUSP10
2390,ITSN2
2391,ADGRE5
2392,PARVB
2393,MYLK4
2394,PFKP
2395,LDLRAD4
2396,PDE4B
2397,VPS13A
2398,NDC1
2399,FOSL2
2400,DOCK7
2401,LSMEM1
2402,FADS3
2403,STAT4
2404,PRELP
2405,KIFC3
2406,SLC51A
2407,CPNE3
2408,RASSF8
2409,CUL1
2410,RTF2
2411,DENND1A
2412,LCAT
2413,PPIL4
2414,INKA1
2415,NECAB2
2416,EIF4E
2417,SLC25A34
2418,PEAK1
2419,RSAD2
2420,PXYLP1
2421,THAP2
2422,AXL
2423,ADAM23
2424,SRPK1
2425,ELL3
2426,WDR13
2427,LMNB1
2428,GTPBP1
2429,LINC01127
2430,B3GNT7
2431,KALRN
2432,CLCF1
2433,LTA
2434,AURKA
2435,RNASE6
2436,EFCAB10
2437,LDB2
2438,ITGA7
2439,MAST4
2440,LIN7A
2441,TEX22
2442,DDIT3
2443,ERLIN1
2444,DPEP2
2445,RIPOR3
2446,ACSL3
2447,ALKBH1
2448,MAD2L1
2449,PNP
2450,PPP1R16A
2451,CLK1
2452,KCNMA1
2453,HPX
2454,DDX3Y
2455,ZNF99
2456,LAT2
2457,CD52
2458,VASP
2459,KRT6A
2460,IL10RB
2461,ALCAM
2462,PCCB
2463,PIH1D1
2464,HEATR3
2465,ITK
2466,EHD1
2467,CCDC50
2468,KIR3DX1
2469,CPS1
2470,PLEKHF1
2471,SLC6A4
2472,CHMP3
2473,KDM3A
2474,DDX60L
2475,SCAMP1-AS1
2476,PARVG
2477,GNG7
2478,EML6
2479,SOX11
2480,NGLY1
2481,ABCD1
2482,NPL
2483,SGIP1
2484,CLHC1
2485,MLANA
2486,LINC00958
2487,MAEA
2488,LURAP1L
2489,HEXIM2
2490,SCN3A
2491,FHDC1
2492,CFB
2493,DDX41
2494,SMG5
2495,POGLUT2
2496,CLEC5A
2497,XRN2
2498,CCDC150
2499,VPS37B
2500,SLC26A8
2501,LINC02363
2502,EMC10
2503,ATF4
2504,MX1
2505,ATP9A
2506,PACC1
2507,EMSY
2508,RNGTT
2509,TAF1B
2510,CFAP161
2511,VWA3B
2512,CCL23
2513,SLU7
2514,WDFY3
2515,RHEB
2516,TAF3
2517,NCOA5
2518,SPEG
2519,MYL2
2520,WDR17
2521,FBXO5
2522,POFUT1
2523,LRRC34
2524,DENND2C
2525,DIP2B
2526,SYNM
2527,PNPLA2
2528,HTR3A
2529,OCIAD2
2530,TUBB2A
2531,SKIL
2532,PELI2
2533,GSTP1
2534,JAKMIP3
2535,ADGRD1
2536,SLC39A5
2537,DHTKD1
2538,MYH15
2539,GBP5
2540,GRB2
2541,TNIK
2542,SPAG1
2543,RPS6KB2
2544,RGPD1
2545,HYOU1
2546,APBB3
2547,DDIT4L
2548,CSRP2
2549,RUNDC3A
2550,KLRC4
2551,CCDC112
2552,KPTN
2553,CDT1
2554,INPP4B
2555,UNC13D
2556,IMPACT
2557,RAB31
2558,PCTP
2559,CDC14A
2560,RPL41
2561,LRRC4
2562,SPG7
2563,DGKK
2564,ACOX1
2565,PREX2
2566,ITGA2
2567,TDRP
2568,SLAMF7
2569,CDCA5
2570,LINC00482
2571,RCVRN
2572,DHDH
2573,DEPDC1
2574,GTF2IRD2
2575,EMP2
2576,FAAH2
2577,LRRC26
2578,RPL34
2579,ILK
2580,MT-ND6
2581,ZC3H12A
2582,RIOK3
2583,GAS7
2584,TMEM266
2585,LINC00943
2586,HLA-DOB
2587,NT5C3A
2588,LINC01560
2589,NEGR1
2590,GPCPD1
2591,PCYT1B
2592,SDC4
2593,HECA
2594,IL1RAP
2595,ALKAL2
2596,USP38
2597,POU2F2
2598,CYTOR
2599,LARGE1
2600,SPAG4
2601,ZDBF2
2602,FANK1
2603,PRC1
2604,P2RY14
2605,UFD1
2606,OLFML3
2607,DHFR
2608,ANKRD50
2609,CD226
2610,IL6ST
2611,GTF3C1
2612,AUP1
2613,S100A1
2614,ITPRID2
2615,LINC00638
2616,SAMD14
2617,MGLL
2618,CSF2RB
2619,MAP1B
2620,LINC00545
2621,LINC01013
2622,RAB7B
2623,WWP2
2624,SNHG25
2625,ZNF385D
2626,HORMAD1
2627,COCH
2628,CCDC85A
2629,RPS29
2630,ZNF296
2631,LGALS8
2632,AUTS2
2633,NEDD4
2634,XIRP2
2635,DCT
2636,HPSE
2637,RNF165
2638,RHD
2639,MBOAT7
2640,FHL1
2641,PPEF1
2642,IL6R
2643,SMAD7
2644,ZAP70
2645,TRIM36
2646,ANKS1B
2647,CAMK4
2648,TENT5A
2649,KLHL14
2650,NOVA1
2651,PARD3
2652,CPNE5
2653,BIK
2654,ERRFI1
2655,RGS10
2656,EPB41L3
2657,HCAR2
2658,ABCA2
2659,DYM
2660,ITGB2
2661,KRT8
2662,FECH
2663,ITPRIP
2664,PIM3
2665,MTMR7
2666,GCSAM
2667,BNIPL
2668,CD40
2669,CDCA2
2670,AOC2
2671,GTSCR1
2672,ARHGEF40
2673,EXD3
2674,SEMA4D
2675,DKK3
2676,SERPINB9
2677,ATF7IP
2678,GBP2
2679,PLPP6
2680,PDE4A
2681,GNG2
2682,COLQ
2683,TBXA2R
2684,OASL
2685,SKAP2
2686,SLC16A6
2687,SWT1
2688,PIK3CD
2689,SLC35C2
2690,MGST3
2691,FLI1
2692,RASGRP4
2693,ALDOC
2694,GEMIN7
2695,EZH2
2696,CXCR3
2697,CHST2
2698,TAX1BP1
2699,LGALS9B
2700,LINC00862
2701,BLNK
2702,KMT2D
2703,CYP46A1
2704,KCNT1
2705,ARHGAP26
2706,VAMP1
2707,B3GAT1
2708,ATP8B4
2709,GABPB1
2710,NMUR1
2711,CAMKK2
2712,RAB18
2713,RAPGEF5
2714,ARG2
2715,TAF1C
2716,SLC38A10
2717,NACA2
2718,GPR12
2719,SEC14L5
2720,RBFADN
2721,RPS6
2722,AGFG1
2723,TRABD2A
2724,SVOPL
2725,WEE1
2726,NETO1
2727,PPM1H
2728,PIF1
2729,DIP2A
2730,AANAT
2731,MTHFR
2732,LYN
2733,PPP1R16B
2734,MLF1
2735,SLAMF1
2736,TMOD3
2737,FBXL14
2738,SNX9
2739,FERMT3
2740,CD96
2741,CRELD1
2742,SLFN13
2743,PPARA
2744,NELL2
2745,PTH2
2746,PRAP1
2747,MIR4435-2HG
2748,PBX2
2749,PGS1
2750,S100A13
2751,GDPD3
2752,KIF13A
2753,PRG4
2754,XPA
2755,CCDC141
2756,MEGF11
2757,PTPN22
2758,LGR6
2759,LINC00469
2760,ZNF454
2761,PLAAT1
2762,TMEM176A
2763,FAM210B
2764,METTL7B
2765,TIMMDC1
2766,JSRP1
2767,PIK3IP1
2768,NDUFS2
2769,KRCC1
2770,USP39
2771,PAN2
2772,ALOX5
2773,ABCB1
2774,UTRN
2775,ANGPT1
2776,HIF1A
2777,PACSIN3
2778,ADAMTS8
2779,SLA
2780,GPRC5C
2781,SLAMF8
2782,ACTN3
2783,RORB
2784,SYAP1
2785,PYGM
2786,CSGALNACT2
2787,GCLM
2788,MYZAP
2789,BUB1
2790,PPP1R9A
2791,TRIM10
2792,ELL
2793,GPATCH2
2794,PRMT9
2795,ZNF831
2796,GPR42
2797,FAM193A
2798,ANKRD9
2799,CADM1
2800,PUS10
2801,ADAP2
2802,N4BP3
2803,LRIF1
2804,BTNL9
2805,EVI2B
2806,SOCS2
2807,SURF1
2808,ARL11
2809,DLX2
2810,NFIX
2811,RPL21
2812,PKN2
2813,SPOP
2814,MIR222HG
2815,CTSV
2816,MFSD10
2817,RTTN
2818,RPS4Y2
2819,KANK2
2820,SMG7
2821,CD59
2822,CBX1
2823,HELLS
2824,POR
2825,ZKSCAN1
2826,PATL2
2827,SHANK2
2828,PPP3CA
2829,TYK2
2830,PRKG1
2831,BNIP3L
2832,GRIN3B
2833,PRAM1
2834,MGST1
2835,SNX10
2836,CFLAR
2837,DBH
2838,VLDLR
2839,MAP3K5
2840,AP3M2
2841,RAB13
2842,GK5
2843,TRIM6
2844,COL13A1
2845,ZNF10
2846,MFSD1
2847,LUC7L
2848,NRG2
2849,SDF2L1
2850,LRRC25
2851,CDHR1
2852,SYN2
2853,GPR27
2854,WNT16
2855,MDM2
2856,GRK2
2857,PDGFD
2858,PRDM8
2859,RIMS3
2860,YWHAH
2861,NCS1
2862,GBP1
2863,AHR
2864,ATP6V1A
2865,SLC25A15
2866,GSTO1
2867,ATP1A2
2868,KIF11
2869,SEMA7A
2870,GFOD1
2871,BCL3
2872,CPEB4
2873,YPEL1
2874,KIF27
2875,PTAFR
2876,ICE1
2877,MUC16
2878,ANKH
2879,FYN
2880,ULBP2
2881,LINC00158
2882,USP43
2883,STAM2
2884,ANK1
2885,JAG1
2886,ZMPSTE24
2887,FBLN7
2888,DNER
2889,EPHB1
2890,GIGYF1
2891,PDZD2
2892,CDHR3
2893,SIGLEC1
2894,SIGLEC10
2895,ABHD17A
2896,FRAT1
2897,EGLN2
2898,FOXC1
2899,ELOVL6
2900,DLGAP4
2901,RBL2
2902,CD28
2903,DOCK8
2904,LRP1
2905,CLEC17A
2906,UGT2B17
2907,RHCE
2908,MYBL2
2909,MYO1C
2910,TSPAN9
2911,IQCN
2912,R3HDM4
2913,TMEM37
2914,LCN10
2915,FXYD7
2916,HERC5
2917,NDST3
2918,VAV1
2919,SC5D
2920,MAFG
2921,GRINA
2922,BACE2
2923,POLG
2924,SUCLG1
2925,LCOR
2926,DIAPH2
2927,FKBP2
2928,CYTL1
2929,ACAP2
2930,TMEM154
2931,LINC00513
2932,PRL
2933,NUAK1
2934,TULP2
2935,CECR2
2936,CD5
2937,CMYA5
2938,HLA-DMB
2939,RSF1
2940,MAP4K2
2941,POLD4
2942,IL12RB2
2943,GAB1
2944,ADRB2
2945,SMC2
2946,SEZ6
2947,KIF2A
2948,CEP126
2949,LINC01281
2950,GNS
2951,ZNF33A
2952,OSR2
2953,LIPG
2954,HES6
2955,CCNH
2956,OXR1
2957,GALNT14
2958,PHOSPHO1
2959,B3GALT2
2960,PEX11G
2961,DIPK1C
2962,KDM5D
2963,MINDY4
2964,NPLOC4
2965,ST8SIA1
2966,BST1
2967,PGAP1
2968,STAT5B
2969,P2RX7
2970,PERP
2971,TMEM107
2972,AKAP5
2973,DSE
2974,TSPAN33
2975,SLC9A8
2976,SOS2
2977,KCNH3
2978,EXD1
2979,PILRA
2980,GCNT4
2981,APBA2
2982,CR1L
2983,SEL1L3
2984,IGSF10
2985,TOX
2986,KIF21A
2987,BEND7
2988,CD300A
2989,TP53INP1
2990,EIF1AY
2991,ERN1
2992,LARGE2
2993,MCTP1
2994,HHEX
2995,MLC1
2996,NDC80
2997,LINC01229
2998,HIGD1B
2999,APOBEC3G
3000,BACH1
3001,DNAH6
3002,TRIM56
3003,DCAF12
3004,BATF2
3005,IFFO2
3006,PLEKHG1
3007,ZBTB8OS
3008,MATN2
3009,PLPPR2
3010,PVRIG
3011,CCAR2
3012,CDC42EP3
3013,NEK2
3014,MXD3
3015,MAK
3016,CD44
3017,RAB30
3018,SLC7A8
3019,PREX1
3020,RBMS1
3021,DGKA
3022,MAP9
3023,EIF2AK3
3024,CHSY1
3025,ARRDC1
3026,ST20
3027,SRGAP1
3028,GCOM1
3029,FOXO3
3030,GSTM2
3031,ASCL2
3032,ODF2L
3033,SLFN5
3034,BAALC
3035,USP36
3036,ART4
3037,ADRA2A
3038,PARP12
3039,SIRPG
3040,KIF15
3041,SLC2A5
3042,CD302
3043,ADAMTS17
3044,HTR7
3045,ATP1B3
3046,PACSIN1
3047,TNFRSF1A
3048,TRAF4
3049,DGKD
3050,PSTPIP1
3051,HGSNAT
3052,MECOM
3053,HLA-G
3054,TSNAX
3055,CHD7
3056,MYO10
3057,LINC00092
3058,SLC1A7
3059,FAM89A
3060,NGRN
3061,CDC25B
3062,RIF1
3063,PRDX1
3064,PAGR1
3065,SH2D6
3066,STXBP5
3067,GPR18
3068,PPP2R2B
3069,MT-CYB
3070,THEMIS
3071,TMEM88
3072,PARD6G
3073,RPL32
3074,CASC15
3075,LINGO2
3076,CCR10
3077,FAM177A1
3078,E2F5
3079,LANCL3
3080,LCP1
3081,RGPD2
3082,RHBDF2
3083,HLA-DQB2
3084,BAIAP2L1
3085,LINC01270
3086,IL26
3087,BNC2
3088,NOTCH3
3089,PRPF8
3090,FNBP1L
3091,GPBP1L1
3092,SLFN12L
3093,AEBP1
3094,RELB
3095,TPM3
3096,KIF22
3097,ABCG1
3098,IPCEF1
3099,PROM1
3100,ATP1B2
3101,TNFRSF25
3102,ASB15
3103,CAPN15
3104,LINC01011
3105,LINC02084
3106,CRYM
3107,KIF20B
3108,SPTBN1
3109,ECE1
3110,AGO1
3111,S1PR1
3112,PLEKHG2
3113,PTPRR
3114,PHF21A
3115,GNG10
3116,EAF1
3117,LINC01537
3118,OSBPL2
3119,YJEFN3
3120,C1QTNF4
3121,CCDC25
3122,ENDOD1
3123,CLEC2B
3124,IL13RA1
3125,PDZK1
3126,ZMAT4
3127,OXNAD1
3128,TNNT1
3129,CCDC184
3130,ENPP1
3131,STRN3
3132,CRYBG1
3133,MID1IP1
3134,NAIP
3135,REL
3136,SLC12A9
3137,TOGARAM2
3138,KIAA0825
3139,RPS10
3140,EPM2A
3141,RHOBTB3
3142,FERMT2
3143,FOXJ1
3144,WHAMM
3145,ESCO2
3146,ERICH3
3147,NDEL1
3148,RAD54L2
3149,LCNL1
3150,GPM6A
3151,CDK17
3152,CPNE7
3153,CLEC2D
3154,MAP4K4
3155,CALHM6
3156,M1AP
3157,HSF4
3158,TLR10
3159,NOSIP
3160,CBLB
3161,EBLN2
3162,HCAR1
3163,PECAM1
3164,ZNF429
3165,ACTA2
3166,EFNA5
3167,NAV2
3168,RSPH14
3169,RALGAPA2
3170,UNC5CL
3171,NBL1
3172,DMKN
3173,GALM
3174,PRKCH
3175,GSDME
3176,AARD
3177,PHLDB2
3178,CAMK2G
3179,ABCC10
3180,SPATA2L
3181,KCNK12
3182,LINC01934
3183,ZDHHC13
3184,ENPP3
3185,TCOF1
3186,PGM2L1
3187,LAX1
3188,WSB1
3189,CYCS
3190,KCNN4
3191,PMEPA1
3192,RNF222
3193,ZNF254
3194,ZNF335
3195,PLCG2
3196,ACSL4
3197,DSEL
3198,MSL3
3199,KCNRG
3200,GCDH
3201,FRAT2
3202,MYO1B
3203,DOK1
3204,RHOH
3205,PLIN3
3206,FOXD1
3207,RNF13
3208,MYO15B
3209,LINC02345
3210,MMP23B
3211,CEP55
3212,BARX2
3213,CAMK2B
3214,PIR
3215,AK5
3216,CEP19
3217,LTBR
3218,TCTA
3219,GPR68
3220,TMEM217
3221,LINC02384
3222,RBPMS
3223,RAB32
3224,TBP
3225,CYFIP1
3226,AXDND1
3227,CNST
3228,APOBEC3H
3229,EGLN1
3230,PPP2CA
3231,UQCRHL
3232,LHFPL5
3233,SIRPB1
3234,ILDR2
3235,NCALD
3236,MPZL3
3237,MAGEH1
3238,BTG3
3239,SIT1
3240,PPP1R3B
3241,GREB1L
3242,NREP
3243,HK2
3244,MFSD2A
3245,TTC16
3246,FCGR1A
3247,KLHL3
3248,TMCC3
3249,TRIM72
3250,IKZF3
3251,PTPN4
3252,RNF130
3253,TSPAN18
3254,RTL8B
3255,FBLN5
3256,MICU3
