,feature_name
IGHA2,IGHA2
ZDHHC14,ZDHHC14
HSPB1,HSPB1
LRRC63,LRRC63
DRC1,DRC1
LINC01943,LINC01943
APOC1,APOC1
MTCL1,MTCL1
CTH,CTH
DISP1,DISP1
TRAV16,TRAV16
CARD6,CARD6
KIF7,KIF7
GSTM2,GSTM2
TM4SF1,TM4SF1
KDM6B,KDM6B
CST7,CST7
SYCP2L,SYCP2L
CCDC110,CCDC110
BTG2,BTG2
CFAP44,CFAP44
CLMP,CLMP
MRM3,MRM3
AZU1,AZU1
CORO6,CORO6
JAG2,JAG2
MITF,MITF
KCNQ2,KCNQ2
IFT46,IFT46
MEIKIN,MEIKIN
PAQR8,PAQR8
CYP2U1,CYP2U1
NPTX2,NPTX2
PAX8,PAX8
LINC01554,LINC01554
NEIL1,NEIL1
THAP10,THAP10
ALAS2,ALAS2
LANCL3,LANCL3
MTMR8,MTMR8
ZSCAN5A,ZSCAN5A
ST8SIA1,ST8SIA1
RFPL4A,RFPL4A
AKR1C1,AKR1C1
UBE2C,UBE2C
BMP1,BMP1
PROX1,PROX1
LINC00880,LINC00880
RNF144B,RNF144B
SLC38A7,SLC38A7
FAM227B,FAM227B
SLAMF1,SLAMF1
TTK,TTK
P2RY1,P2RY1
PLK1,PLK1
MYRIP,MYRIP
CTTNBP2NL,CTTNBP2NL
DIO1,DIO1
WDR91,WDR91
TRAV9-2,TRAV9-2
IFIT3,IFIT3
COL4A1,COL4A1
CMTM5,CMTM5
LINC01303,LINC01303
MFSD2A,MFSD2A
RCL1,RCL1
GSTM1,GSTM1
STMN1,STMN1
BACH1-IT2,BACH1-IT2
EYA2,EYA2
ZSCAN30,ZSCAN30
LINC02246,LINC02246
LYPD2,LYPD2
PDZD7,PDZD7
FOSB,FOSB
ANXA2,ANXA2
LITAF,LITAF
TSPAN33,TSPAN33
CRYZ,CRYZ
LINC00865,LINC00865
NCAPH,NCAPH
ST7,ST7
LPL,LPL
ATP1B2,ATP1B2
PARP3,PARP3
ZNF527,ZNF527
ZFYVE26,ZFYVE26
TTC7B,TTC7B
CADM1,CADM1
PARD3B,PARD3B
AQP8,AQP8
SNAPC4,SNAPC4
ZNF287,ZNF287
BCO2,BCO2
LOXL1,LOXL1
CETP,CETP
CABP1,CABP1
ABCA6,ABCA6
MTMR7,MTMR7
DGKD,DGKD
TNR,TNR
SDSL,SDSL
CCNB2,CCNB2
FBXO32,FBXO32
KLRD1,KLRD1
TRAF2,TRAF2
RNF212B,RNF212B
NLRP3,NLRP3
MYRFL,MYRFL
MYZAP,MYZAP
VMP1,VMP1
CR1,CR1
MS4A3,MS4A3
LINC00881,LINC00881
BMP3,BMP3
GLRA3,GLRA3
KNSTRN,KNSTRN
EPAS1,EPAS1
MILR1,MILR1
PPL,PPL
ZNF331,ZNF331
MAEL,MAEL
BBS1,BBS1
USP21,USP21
HOXB6,HOXB6
FZD6,FZD6
CXCL9,CXCL9
UCN,UCN
USP30,USP30
TRIM59,TRIM59
FXYD6,FXYD6
ACKR2,ACKR2
SLC27A2,SLC27A2
LRFN1,LRFN1
MUC1,MUC1
FTL,FTL
TREML1,TREML1
NATD1,NATD1
C2orf92,C2orf92
ZNF391,ZNF391
CD24,CD24
SLCO1A2,SLCO1A2
PCSK6,PCSK6
S100A3,S100A3
ATP1A4,ATP1A4
FAM87B,FAM87B
TEX30,TEX30
PSAP,PSAP
BRMS1L,BRMS1L
CC2D1B,CC2D1B
PRR29-AS1,PRR29-AS1
LYPD3,LYPD3
DENND2A,DENND2A
ALOX15,ALOX15
