,feature_name
APLP2,APLP2
ELANE,ELANE
ACER2,ACER2
SENP8,SENP8
KLHDC1,KLHDC1
CCDC40,CCDC40
ETV1,ETV1
NUPR1,NUPR1
ANKRD6,ANKRD6
PIK3CD,PIK3CD
ACTN3,ACTN3
DOCK3,DOCK3
LINC01126,LINC01126
TRAV1-1,TRAV1-1
MKI67,MKI67
PLA2G1B,PLA2G1B
SLC39A8,SLC39A8
GSN,GSN
ELMO2,ELMO2
PON2,PON2
PDE3A,PDE3A
ADAMTS13,ADAMTS13
ELP1,ELP1
LRRC19,LRRC19
CEP78,CEP78
SLAMF9,SLAMF9
SH3BGRL2,SH3BGRL2
CCDC86,CCDC86
KLF4,KLF4
C1QTNF7,C1QTNF7
GLB1L3,GLB1L3
TBX1,TBX1
APMAP,APMAP
RORB,RORB
RNF212,RNF212
LINC00595,LINC00595
CA8,CA8
IPP,IPP
ECT2,ECT2
PPFIA3,PPFIA3
ZC4H2,ZC4H2
PRSS23,PRSS23
PPP2R2B,PPP2R2B
GPR3,GPR3
TYK2,TYK2
ADGRL1,ADGRL1
GTF2IRD1,GTF2IRD1
TRAV12-3,TRAV12-3
ACSBG1,ACSBG1
CABLES1,CABLES1
ITGA2,ITGA2
IGHD,IGHD
BAZ2B,BAZ2B
TSPO2,TSPO2
ZNF875,ZNF875
OSGIN1,OSGIN1
TSNAXIP1,TSNAXIP1
GADD45B,GADD45B
DHX58,DHX58
MREG,MREG
LINC01730,LINC01730
USP2,USP2
ZNF93,ZNF93
DUBR,DUBR
NPR3,NPR3
ABCA5,ABCA5
LINC00239,LINC00239
INTS9,INTS9
BFSP1,BFSP1
BHLHE40,BHLHE40
PLK3,PLK3
FAAH2,FAAH2
LINC02696,LINC02696
PDZK1IP1,PDZK1IP1
PPFIBP1,PPFIBP1
SGSH,SGSH
NEK3,NEK3
PFN4,PFN4
DANT2,DANT2
ZNF532,ZNF532
ABL2,ABL2
BMP2,BMP2
PYHIN1,PYHIN1
JPH3,JPH3
PRSS1,PRSS1
MDGA1,MDGA1
IGLV6-57,IGLV6-57
SPATA6L,SPATA6L
SLC26A8,SLC26A8
GPD1L,GPD1L
FAM227A,FAM227A
PMP22,PMP22
KATNB1,KATNB1
KIF18B,KIF18B
PPEF1,PPEF1
FKBP7,FKBP7
LINC01281,LINC01281
MED15,MED15
FRMPD3,FRMPD3
TEAD1,TEAD1
CLTCL1,CLTCL1
FPGT,FPGT
IL4R,IL4R
FAM169A,FAM169A
HAUS5,HAUS5
MTFMT,MTFMT
STX3,STX3
LYPD5,LYPD5
NEK2,NEK2
CCL4L2,CCL4L2
RORA,RORA
AXIN2,AXIN2
CYP3A5,CYP3A5
AKR7A3,AKR7A3
CEP170B,CEP170B
CACHD1,CACHD1
SPAG8,SPAG8
SNX24,SNX24
AARS2,AARS2
SLC5A3,SLC5A3
MT-ND4L,MT-ND4L
HAPLN3,HAPLN3
NPIPB12,NPIPB12
DPYSL4,DPYSL4
TMEM88,TMEM88
PRRG1,PRRG1
C2CD4B,C2CD4B
IL12RB1,IL12RB1
MNS1,MNS1
CRYBA1,CRYBA1
SLC1A3,SLC1A3
BEND2,BEND2
FBXO43,FBXO43
AGBL5,AGBL5
MMP25,MMP25
VPS9D1,VPS9D1
CYP4F12,CYP4F12
PKDCC,PKDCC
COL26A1,COL26A1
CRPPA,CRPPA
VPREB1,VPREB1
DSN1,DSN1
GOT1,GOT1
SERPINI1,SERPINI1
GCM1,GCM1
FAM209B,FAM209B
RP2,RP2
KAT2A,KAT2A
ZNF223,ZNF223
ANXA1,ANXA1
MFAP3L,MFAP3L
G0S2,G0S2
AMZ1,AMZ1
CALCR,CALCR
TEX41,TEX41
CATSPER3,CATSPER3
PELI1,PELI1
NCF2,NCF2
GCSAML,GCSAML
CSTA,CSTA
TRIM9,TRIM9
NCOA5,NCOA5
SSH3,SSH3
AHRR,AHRR
PRG2,PRG2
PIM2,PIM2
DENND6A-DT,DENND6A-DT
PACSIN3,PACSIN3
ANKRD29,ANKRD29
PTPRH,PTPRH
CEMIP,CEMIP
LGALS12,LGALS12
CSRNP2,CSRNP2
PYGL,PYGL
NDRG2,NDRG2
GPX3,GPX3
FNTB,FNTB
P3H2,P3H2
METTL3,METTL3
CACNB4,CACNB4
CIP2A,CIP2A
GJB6,GJB6
TSPO,TSPO
ASPA,ASPA
EAF1,EAF1
BIK,BIK
GPR15,GPR15
IL15RA,IL15RA
RAB23,RAB23
COL1A1,COL1A1
TRO,TRO
ZNF763,ZNF763
CAVIN1,CAVIN1
LINC02427,LINC02427
MIR155HG,MIR155HG
CCDC102B,CCDC102B
LINC02033,LINC02033
ANPEP,ANPEP
GUCY2D,GUCY2D
ERICH6,ERICH6
MYOM2,MYOM2
JAM3,JAM3
ANKK1,ANKK1
NEK5,NEK5
CKAP4,CKAP4
ENKUR,ENKUR
L3HYPDH,L3HYPDH
GJB7,GJB7
ZNF284,ZNF284
CCR9,CCR9
VSTM2L,VSTM2L
ASTN2,ASTN2
TRIB2,TRIB2
ZNF816,ZNF816
NCF1,NCF1
PDE8A,PDE8A
OIP5,OIP5
NUAK1,NUAK1
TRAV22,TRAV22
RN7SL832P,RN7SL832P
DLK2,DLK2
SDHAF1,SDHAF1
MLF1,MLF1
SPTSSB,SPTSSB
CDCA5,CDCA5
XIST,XIST
IGLV8-61,IGLV8-61
JAKMIP3,JAKMIP3
PTPRM,PTPRM
UPK1A,UPK1A
GATM,GATM
SEC11C,SEC11C
PROCR,PROCR
VPS18,VPS18
TYROBP,TYROBP
STBD1,STBD1
SHF,SHF
FAM171A1,FAM171A1
PRDM11,PRDM11
CIPC,CIPC
ERCC6L,ERCC6L
CAMKMT,CAMKMT
AASS,AASS
TOMM40L,TOMM40L
VSIG10,VSIG10
ZNF627,ZNF627
PLEKHA7,PLEKHA7
ZFAT,ZFAT
BEX3,BEX3
PLCB4,PLCB4
EPB42,EPB42
NLGN4Y,NLGN4Y
OSMR,OSMR
LINC01954,LINC01954
GFI1,GFI1
DPH2,DPH2
AMOTL1,AMOTL1
SRGN,SRGN
MUC12,MUC12
PRELID2,PRELID2
GAN,GAN
LINC02323,LINC02323
PRL,PRL
RORC,RORC
TIMM23B-AGAP6,TIMM23B-AGAP6
ZNF713,ZNF713
LINC02207,LINC02207
LGALS3,LGALS3
UQCC1,UQCC1
AFF2,AFF2
PLXDC1,PLXDC1
SUV39H2,SUV39H2
IGKV2-30,IGKV2-30
PALD1,PALD1
CTRC,CTRC
ACSM3,ACSM3
STRIP1,STRIP1
LINC02608,LINC02608
TRAV14DV4,TRAV14DV4
FER1L5,FER1L5
STK11IP,STK11IP
PIH1D2,PIH1D2
PIGL,PIGL
ADRA2A,ADRA2A
UMODL1,UMODL1
DRC3,DRC3
WDR86,WDR86
FKBP5,FKBP5
TMEM45B,TMEM45B
WDR5B,WDR5B
OLFML3,OLFML3
SDCBP,SDCBP
HSP90AB1,HSP90AB1
MCEMP1,MCEMP1
PDZD2,PDZD2
BEGAIN,BEGAIN
SLC9B1,SLC9B1
CLCN2,CLCN2
RPS27,RPS27
ZNF334,ZNF334
KIF5A,KIF5A
ACY3,ACY3
ZNF549,ZNF549
ACRBP,ACRBP
ATP2C2,ATP2C2
TMEM63C,TMEM63C
EDAR,EDAR
CLEC4E,CLEC4E
PHLDA1,PHLDA1
SPNS2,SPNS2
HSPG2,HSPG2
NOL3,NOL3
HIF3A,HIF3A
NUP35,NUP35
PPM1K-DT,PPM1K-DT
IGHV4-34,IGHV4-34
SFTPB,SFTPB
SLC13A3,SLC13A3
LINC01301,LINC01301
GASK1A,GASK1A
CDCP1,CDCP1
BCL2A1,BCL2A1
CKLF-CMTM1,CKLF-CMTM1
HRH1,HRH1
DUSP2,DUSP2
LST1,LST1
IRF6,IRF6
PDCD2L,PDCD2L
SLC7A14,SLC7A14
ARMC12,ARMC12
WNK3,WNK3
PHYHD1,PHYHD1
FBP1,FBP1
C8G,C8G
GLIPR1L2,GLIPR1L2
CPSF1,CPSF1
RAB3B,RAB3B
PLEKHG4,PLEKHG4
LINC01752,LINC01752
ALPK3,ALPK3
MTBP,MTBP
KRT23,KRT23
INPP5K,INPP5K
KCNQ3,KCNQ3
TRBV24-1,TRBV24-1
TNFRSF21,TNFRSF21
TMPPE,TMPPE
RHPN2,RHPN2
RGL1,RGL1
NHSL1,NHSL1
CABP4,CABP4
OLFML2B,OLFML2B
ZNF683,ZNF683
KLHL26,KLHL26
NAXD,NAXD
TTC16,TTC16
GPC1,GPC1
EOMES,EOMES
MCAT,MCAT
TICRR,TICRR
EXO5,EXO5
ZC3HC1,ZC3HC1
LINC02551,LINC02551
CFAP53,CFAP53
ANGPTL6,ANGPTL6
SULT1C2,SULT1C2
APOA1,APOA1
STON2,STON2
FSTL1,FSTL1
TINCR,TINCR
SERPINE2,SERPINE2
EFHC2,EFHC2
GASAL1,GASAL1
KLHL4,KLHL4
P4HA2,P4HA2
ID3,ID3
GLIDR,GLIDR
CASP9,CASP9
TAS2R5,TAS2R5
SLC17A9,SLC17A9
SERPINF1,SERPINF1
CRLF1,CRLF1
ZNF256,ZNF256
RPS6KA6,RPS6KA6
PXT1,PXT1
CXCL5,CXCL5
BLM,BLM
TRBV7-2,TRBV7-2
XCL1,XCL1
LINC02453,LINC02453
NLRP6,NLRP6
GFPT2,GFPT2
HTRA1,HTRA1
IFITM1,IFITM1
GRK7,GRK7
DRAIC,DRAIC
SEPTIN5,SEPTIN5
MYH7B,MYH7B
FBXL13,FBXL13
SLCO4A1,SLCO4A1
MUCL1,MUCL1
FAM209A,FAM209A
CATSPER2,CATSPER2
LINC02356,LINC02356
TSPYL5,TSPYL5
ORC5,ORC5
MIR99AHG,MIR99AHG
B3GALNT1,B3GALNT1
XRCC3,XRCC3
MEGF6,MEGF6
DLC1,DLC1
NBEAL2,NBEAL2
CD3D,CD3D
LINC00304,LINC00304
PLA2G4C,PLA2G4C
COL9A2,COL9A2
SNX20,SNX20
CCR8,CCR8
GZMK,GZMK
IGHV3-15,IGHV3-15
RGCC,RGCC
RAB40B,RAB40B
TMEM204,TMEM204
SLC25A19,SLC25A19
CRISPLD1,CRISPLD1
ACAD10,ACAD10
TK1,TK1
HSPA6,HSPA6
PBK,PBK
LINC01118,LINC01118
ACTB,ACTB
PIAS3,PIAS3
ICA1,ICA1
EPDR1,EPDR1
IGSF6,IGSF6
SIRT5,SIRT5
TRBV15,TRBV15
PLCE1,PLCE1
EXTL3,EXTL3
SLC6A20,SLC6A20
ZNF142,ZNF142
ABLIM2,ABLIM2
IL17RE,IL17RE
SLC4A8,SLC4A8
ESRP2,ESRP2
SCNN1D,SCNN1D
NAT1,NAT1
PNMA2,PNMA2
KLF2,KLF2
MT-CO3,MT-CO3
NNMT,NNMT
SLC25A12,SLC25A12
TRAV5,TRAV5
LINC01629,LINC01629
PDK3,PDK3
PDP2,PDP2
MBD1,MBD1
TRDV1,TRDV1
ARHGAP6,ARHGAP6
KCNIP2,KCNIP2
RHOT2,RHOT2
FGF18,FGF18
SLC25A18,SLC25A18
CFD,CFD
PLB1,PLB1
FAM174B,FAM174B
HEMGN,HEMGN
AZIN2,AZIN2
ZNF404,ZNF404
DOLK,DOLK
MFAP5,MFAP5
SMKR1,SMKR1
CXCL11,CXCL11
DNAH2,DNAH2
NECAB2,NECAB2
RAB11FIP5,RAB11FIP5
TRH,TRH
ZSCAN22,ZSCAN22
LINC01068,LINC01068
SDCBP2,SDCBP2
ACTN1,ACTN1
PDK4,PDK4
MEIS2,MEIS2
FARP2,FARP2
FBXO10,FBXO10
DSCR9,DSCR9
TMEM41A,TMEM41A
METTL25,METTL25
ZNF174,ZNF174
ZNF34,ZNF34
SPSB1,SPSB1
GTSF1,GTSF1
CCDC141,CCDC141
NEURL2,NEURL2
ZP3,ZP3
TCTN2,TCTN2
INSIG1,INSIG1
OASL,OASL
STX1B,STX1B
NID2,NID2
NMU,NMU
CCDC181,CCDC181
LINC00511,LINC00511
TRAV20,TRAV20
MN1,MN1
HBQ1,HBQ1
PFKFB4,PFKFB4
ASAH2,ASAH2
IDO2,IDO2
SOX13,SOX13
IGHM,IGHM
RAMP1,RAMP1
WDR31,WDR31
FASTKD3,FASTKD3
ANGPTL1,ANGPTL1
PACERR,PACERR
ALDH8A1,ALDH8A1
KLHL29,KLHL29
PITPNM3,PITPNM3
KLRF1,KLRF1
IGHV5-10-1,IGHV5-10-1
CRYGS,CRYGS
KHDC1,KHDC1
EFCAB7,EFCAB7
C5AR1,C5AR1
SGPP2,SGPP2
ZSCAN31,ZSCAN31
VAMP1,VAMP1
CCNI2,CCNI2
SHISA2,SHISA2
STAR,STAR
TRAV41,TRAV41
SCARF2,SCARF2
GAS1,GAS1
KLRB1,KLRB1
XPO6,XPO6
HACD1,HACD1
POLR1C,POLR1C
MIA,MIA
CTSD,CTSD
ZNF155,ZNF155
RAB38,RAB38
PNMA1,PNMA1
LYZ,LYZ
EVC,EVC
ZNF835,ZNF835
LCMT2,LCMT2
UCK1,UCK1
MRTFA,MRTFA
WDR17,WDR17
PLIN1,PLIN1
IFT74,IFT74
NXF3,NXF3
PRKG1,PRKG1
IGHV1-58,IGHV1-58
MIR222HG,MIR222HG
ADGRB1,ADGRB1
SPTB,SPTB
DUSP6,DUSP6
LNX1,LNX1
IGHV4-61,IGHV4-61
FBXO27,FBXO27
TMEM132A,TMEM132A
PHOSPHO2,PHOSPHO2
FGL2,FGL2
LINGO2,LINGO2
HMMR,HMMR
PIFO,PIFO
MEG8,MEG8
WDR36,WDR36
ZFAND2A,ZFAND2A
PRH1,PRH1
ADGRF3,ADGRF3
IFRD1,IFRD1
ZBTB3,ZBTB3
SERHL2,SERHL2
LYSMD1,LYSMD1
PLPP7,PLPP7
SLIT3,SLIT3
GPRC5B,GPRC5B
LDLR,LDLR
TM4SF19,TM4SF19
AUH,AUH
TPSB2,TPSB2
FSTL4,FSTL4
MIR9-3HG,MIR9-3HG
TNFRSF10C,TNFRSF10C
PAFAH2,PAFAH2
STXBP1,STXBP1
FLVCR2,FLVCR2
CNKSR3,CNKSR3
BRPF1,BRPF1
KIAA1217,KIAA1217
ANKRD27,ANKRD27
APOL4,APOL4
MARCKSL1,MARCKSL1
TRAV39,TRAV39
ITGA2B,ITGA2B
PKIG,PKIG
SEMA3A,SEMA3A
DRAXIN,DRAXIN
USP44,USP44
HOXA7,HOXA7
AMACR,AMACR
ARHGAP20,ARHGAP20
TENM1,TENM1
CEP76,CEP76
DCAKD,DCAKD
MT1X,MT1X
SOCS1,SOCS1
EMP1,EMP1
MYL9,MYL9
LYG2,LYG2
IFFO1,IFFO1
PTPN13,PTPN13
FILNC1,FILNC1
SCUBE3,SCUBE3
IGKV2D-28,IGKV2D-28
KCNJ13,KCNJ13
SULT1A2,SULT1A2
IL19,IL19
BCAS1,BCAS1
TNNT1,TNNT1
DTL,DTL
MYO1D,MYO1D
ZFP36,ZFP36
NUP205,NUP205
CXXC1,CXXC1
NUDT10,NUDT10
KIF2C,KIF2C
IL6,IL6
CCDC15,CCDC15
ERAL1,ERAL1
MTURN,MTURN
LINC00640,LINC00640
RAP1GAP,RAP1GAP
TRGV2,TRGV2
PCOLCE,PCOLCE
PIR,PIR
DLL1,DLL1
FHDC1,FHDC1
LINC01537,LINC01537
GXYLT2,GXYLT2
DNAH11,DNAH11
DIP2C,DIP2C
MS4A7,MS4A7
SLC52A1,SLC52A1
PNPLA7,PNPLA7
PDE6D,PDE6D
RB1-DT,RB1-DT
HEG1,HEG1
KANSL2,KANSL2
HS3ST1,HS3ST1
LAMA3,LAMA3
HAS3,HAS3
KLHL13,KLHL13
NUSAP1,NUSAP1
C1S,C1S
NRIP3,NRIP3
SLC8B1,SLC8B1
TBC1D8,TBC1D8
MIIP,MIIP
FAM171B,FAM171B
PTPDC1,PTPDC1
NEGR1,NEGR1
PDLIM7,PDLIM7
GSTT2B,GSTT2B
PKD1L3,PKD1L3
ECM2,ECM2
ADAM28,ADAM28
MARCKS,MARCKS
FRMD5,FRMD5
ZNF418,ZNF418
BACE2,BACE2
CYSTM1,CYSTM1
SEMA3B,SEMA3B
MROH8,MROH8
ZDHHC11B,ZDHHC11B
COL6A6,COL6A6
ADGRD1,ADGRD1
GIPR,GIPR
IFT52,IFT52
NUF2,NUF2
LHFPL2,LHFPL2
RFPL2,RFPL2
KNTC1,KNTC1
HYAL1,HYAL1
EFCAB12,EFCAB12
RETREG3,RETREG3
CCDC62,CCDC62
PTGS2,PTGS2
PTPRR,PTPRR
FLOT2,FLOT2
PAPPA,PAPPA
NKPD1,NKPD1
ZNF230,ZNF230
DTHD1,DTHD1
LINC02731,LINC02731
BUB1B,BUB1B
C1QTNF6,C1QTNF6
GPR107,GPR107
SYTL3,SYTL3
THAP8,THAP8
TXNDC5,TXNDC5
GLUL,GLUL
CLEC5A,CLEC5A
IGHV3-64D,IGHV3-64D
COQ10A,COQ10A
LINC01277,LINC01277
HESX1,HESX1
ALDH1A2,ALDH1A2
TSHZ3,TSHZ3
PRSS2,PRSS2
TMTC3,TMTC3
ATP13A3,ATP13A3
CCL3L3,CCL3L3
KIAA1522,KIAA1522
RDH12,RDH12
SLC35C1,SLC35C1
DNAH1,DNAH1
PRG4,PRG4
ZKSCAN5,ZKSCAN5
SKIDA1,SKIDA1
RAB40C,RAB40C
LINC01011,LINC01011
HMOX1,HMOX1
CTTN,CTTN
EFR3B,EFR3B
NPRL2,NPRL2
IGHV3-43,IGHV3-43
SLC1A1,SLC1A1
FBXL2,FBXL2
ARMC2,ARMC2
GHET1,GHET1
WNT10B,WNT10B
M1AP,M1AP
IL2RB,IL2RB
TNNT3,TNNT3
LINC01762,LINC01762
AUNIP,AUNIP
ABHD12B,ABHD12B
ZNF667,ZNF667
GPR61,GPR61
TRIM6,TRIM6
SLC13A4,SLC13A4
F2RL3,F2RL3
TNF,TNF
FBXO40,FBXO40
RTEL1,RTEL1
CENPI,CENPI
FGFBP2,FGFBP2
TULP2,TULP2
MYO16,MYO16
CCL23,CCL23
PEAR1,PEAR1
FBXO24,FBXO24
DAPK2,DAPK2
AP1S2,AP1S2
GRIK1,GRIK1
CADPS,CADPS
LBX2,LBX2
LIN52,LIN52
CNTN2,CNTN2
NIPSNAP3B,NIPSNAP3B
IGHMBP2,IGHMBP2
ZC3H10,ZC3H10
SELENBP1,SELENBP1
ZNF132,ZNF132
CSRNP1,CSRNP1
ZNF469,ZNF469
IGHV1-18,IGHV1-18
GALR2,GALR2
TMEM237,TMEM237
ACKR3,ACKR3
TRAV17,TRAV17
PAK3,PAK3
TMEM37,TMEM37
CNNM3-DT,CNNM3-DT
HOXA1,HOXA1
B4GALT6,B4GALT6
ST6GALNAC2,ST6GALNAC2
IL20RB,IL20RB
ZNF280C,ZNF280C
IGLON5,IGLON5
KRT5,KRT5
TAF1C,TAF1C
YJEFN3,YJEFN3
IL12RB2,IL12RB2
MINDY4,MINDY4
MYRF,MYRF
PPIL6,PPIL6
P4HA3,P4HA3
SUSD2,SUSD2
IGLL5,IGLL5
LINC01948,LINC01948
NR2C1,NR2C1
SLC29A2,SLC29A2
PARD6B,PARD6B
DTNB,DTNB
TRBV6-2,TRBV6-2
FGF22,FGF22
LINC01535,LINC01535
OXGR1,OXGR1
ADAMTS10,ADAMTS10
EBI3,EBI3
IFI6,IFI6
SUSD5,SUSD5
DCLRE1B,DCLRE1B
HRH2,HRH2
PIGR,PIGR
LHFPL5,LHFPL5
CEP131,CEP131
HMG20A,HMG20A
FHOD1,FHOD1
CCDC194,CCDC194
KHDRBS3,KHDRBS3
CCDC68,CCDC68
WDR90,WDR90
LINC02273,LINC02273
PCDH12,PCDH12
TMED2-DT,TMED2-DT
CD79B,CD79B
PABPC1L,PABPC1L
GAS6,GAS6
SMG8,SMG8
PNP,PNP
LINC01814,LINC01814
SERPINB9P1,SERPINB9P1
JUND,JUND
RNF32,RNF32
TRBC1,TRBC1
GNRH1,GNRH1
IGKC,IGKC
OSR2,OSR2
DENND2C,DENND2C
ZNF154,ZNF154
SLC38A2,SLC38A2
IGKV1D-8,IGKV1D-8
LINC01144,LINC01144
IL1R2,IL1R2
GPR37L1,GPR37L1
CHP1,CHP1
TSEN2,TSEN2
TRAV13-2,TRAV13-2
UBASH3A,UBASH3A
DCAF4L1,DCAF4L1
NFE2L3,NFE2L3
MAFTRR,MAFTRR
REG4,REG4
CNKSR1,CNKSR1
MTX2,MTX2
FAM83G,FAM83G
ATP2A3,ATP2A3
CCL5,CCL5
FAM83D,FAM83D
NR2F2,NR2F2
LINC02446,LINC02446
PHACTR1,PHACTR1
TMEM200A,TMEM200A
INSM1,INSM1
RELL1,RELL1
SIGLEC9,SIGLEC9
FAM149B1,FAM149B1
CYYR1,CYYR1
CFAP161,CFAP161
HIF1A-AS3,HIF1A-AS3
ELFN1-AS1,ELFN1-AS1
CD109,CD109
ZNF749,ZNF749
DES,DES
PDE1B,PDE1B
ZNF449,ZNF449
EGR1,EGR1
LURAP1,LURAP1
FERMT2,FERMT2
PTPN22,PTPN22
LINC01291,LINC01291
ZNF596,ZNF596
TMEM135,TMEM135
LDB3,LDB3
COL10A1,COL10A1
TRBV11-2,TRBV11-2
RALGAPA2,RALGAPA2
GNG8,GNG8
NPC2,NPC2
EXPH5,EXPH5
IPO13,IPO13
SLC10A1,SLC10A1
MMD,MMD
UCKL1,UCKL1
AP4B1,AP4B1
KREMEN1,KREMEN1
SLC43A1,SLC43A1
TRGV9,TRGV9
LOX,LOX
SLC2A10,SLC2A10
FST,FST
POU6F1,POU6F1
DNM3,DNM3
COL17A1,COL17A1
DNASE1L3,DNASE1L3
HSD17B7,HSD17B7
LCN10,LCN10
PCDHGA10,PCDHGA10
TADA1,TADA1
IGHV4-39,IGHV4-39
IL17C,IL17C
ZNF117,ZNF117
HIGD1B,HIGD1B
IGSF9B,IGSF9B
SPDYA,SPDYA
CD34,CD34
POLN,POLN
FITM2,FITM2
DUOX1,DUOX1
RABGAP1L-DT,RABGAP1L-DT
RBMS3,RBMS3
HSP90AA1,HSP90AA1
WNT4,WNT4
FBXL18,FBXL18
IL17RC,IL17RC
COL23A1,COL23A1
ZCCHC14,ZCCHC14
FKBP4,FKBP4
NLRP12,NLRP12
LINC02288,LINC02288
NT5DC2,NT5DC2
FCER1G,FCER1G
MATN4,MATN4
SRGAP1,SRGAP1
KCNK5,KCNK5
FRMD4B,FRMD4B
MRC1,MRC1
ALDH1L2,ALDH1L2
IL17D,IL17D
GPR34,GPR34
CERS3,CERS3
LINC00664,LINC00664
HECW2,HECW2
LINC01163,LINC01163
ERRFI1,ERRFI1
IFT122,IFT122
DPYS,DPYS
BEAN1,BEAN1
RASEF,RASEF
CD55,CD55
PLN,PLN
UNG,UNG
LRP12,LRP12
ZBTB32,ZBTB32
SLC6A12,SLC6A12
MERTK,MERTK
NOS1AP,NOS1AP
IL4,IL4
EFNB2,EFNB2
NFE2,NFE2
ADCK5,ADCK5
ATOH8,ATOH8
SGK1,SGK1
RANBP17,RANBP17
TMEM241,TMEM241
SLC7A5,SLC7A5
LINC01480,LINC01480
WDR62,WDR62
CDC37L1-DT,CDC37L1-DT
POPDC2,POPDC2
BRDT,BRDT
S100A6,S100A6
CNTROB,CNTROB
SGSM2,SGSM2
E2F7,E2F7
SZT2,SZT2
IGF1,IGF1
GSTA4,GSTA4
REEP6,REEP6
HLF,HLF
HOXB3,HOXB3
CDKN1A,CDKN1A
EHD3,EHD3
CHST15,CHST15
IL2,IL2
SLC2A3,SLC2A3
GPR55,GPR55
GOLM1,GOLM1
OGN,OGN
RNF24,RNF24
FAM110B,FAM110B
PLPP3,PLPP3
DBNDD1,DBNDD1
NEFL,NEFL
DUSP10,DUSP10
PKP4,PKP4
VMO1,VMO1
IL32,IL32
TNFRSF12A,TNFRSF12A
CRIP1,CRIP1
PLVAP,PLVAP
IRF4,IRF4
NRXN2,NRXN2
TBC1D24,TBC1D24
NME2,NME2
B3GNT9,B3GNT9
ZNF792,ZNF792
NCAPG,NCAPG
TRPM2,TRPM2
MAMSTR,MAMSTR
MEGF11,MEGF11
CTSV,CTSV
IGHG1,IGHG1
ETS2,ETS2
CETN2,CETN2
PLAAT5,PLAAT5
FKBP9,FKBP9
FHAD1,FHAD1
MPP7-DT,MPP7-DT
HTR7,HTR7
CPNE8,CPNE8
ZACN,ZACN
ZFP36L1,ZFP36L1
GPR12,GPR12
AXL,AXL
CSMD2,CSMD2
ECM1,ECM1
SGCA,SGCA
MAMDC4,MAMDC4
TBC1D22B,TBC1D22B
HLA-DQA2,HLA-DQA2
ARHGAP39,ARHGAP39
ASPH,ASPH
LANCL2,LANCL2
BRD3OS,BRD3OS
ANKRD34A,ANKRD34A
NQO1,NQO1
LINC02084,LINC02084
ZNF665,ZNF665
IL5RA,IL5RA
LINC02145,LINC02145
LINC02777,LINC02777
RARG,RARG
PALM,PALM
LGALS2,LGALS2
CEP295NL,CEP295NL
ECT2L,ECT2L
MIR378D2HG,MIR378D2HG
GRM3,GRM3
DAAM2,DAAM2
FREM3,FREM3
CST6,CST6
FAAP24,FAAP24
PERP,PERP
HOPX,HOPX
ALOX12,ALOX12
GZMA,GZMA
LTC4S,LTC4S
SYCE2,SYCE2
LINC01132,LINC01132
BNC2,BNC2
AMIGO1,AMIGO1
WDR27,WDR27
AP5B1,AP5B1
INKA2,INKA2
TRGC2,TRGC2
ETV5,ETV5
TM7SF2,TM7SF2
PLEKHG5,PLEKHG5
MOGAT1,MOGAT1
ENTPD7,ENTPD7
CCDC171,CCDC171
PCCB,PCCB
CCNJL,CCNJL
LINC02846,LINC02846
OMG,OMG
IER3,IER3
SLC4A11,SLC4A11
IGHV1-24,IGHV1-24
TMEM98,TMEM98
UPB1,UPB1
ANKRD28,ANKRD28
RBP5,RBP5
ZNF343,ZNF343
DHRS9,DHRS9
VCAN,VCAN
TRPM5,TRPM5
IMPDH1,IMPDH1
HEY1,HEY1
ENAH,ENAH
TOP2A,TOP2A
GRIP2,GRIP2
GDA,GDA
CORO2B,CORO2B
SORL1,SORL1
ST18,ST18
RYR2,RYR2
ANKLE1,ANKLE1
UNC5B,UNC5B
MT-CO2,MT-CO2
GSDMA,GSDMA
DNAJC18,DNAJC18
SORBS1,SORBS1
PAGE2B,PAGE2B
HOXA5,HOXA5
IRAK3,IRAK3
HNRNPLL,HNRNPLL
FOXP3,FOXP3
C5AR2,C5AR2
RAI14,RAI14
EHHADH,EHHADH
PEG10,PEG10
AARD,AARD
IMPG2,IMPG2
TTC9B,TTC9B
TTLL5,TTLL5
PEAK1,PEAK1
DCBLD2,DCBLD2
CDH3,CDH3
PDZK1,PDZK1
NKIRAS1,NKIRAS1
GGT7,GGT7
ZNF440,ZNF440
SLC4A5,SLC4A5
CCL3,CCL3
TNFRSF13C,TNFRSF13C
LINC00469,LINC00469
SLC44A3,SLC44A3
OLFML1,OLFML1
PHLDB3,PHLDB3
KLRK1,KLRK1
SNURF,SNURF
VWCE,VWCE
CC2D2B,CC2D2B
EIF5A2,EIF5A2
CEMIP2,CEMIP2
IGHG3,IGHG3
ZNF789,ZNF789
ST14,ST14
MAP3K15,MAP3K15
OCM,OCM
FANCG,FANCG
PNMA3,PNMA3
CASP6,CASP6
CD2BP2-DT,CD2BP2-DT
TVP23A,TVP23A
TRAV12-1,TRAV12-1
PRELP,PRELP
TMEM62,TMEM62
CXCL10,CXCL10
CHEK2,CHEK2
NDC80,NDC80
LMLN,LMLN
PLIN5,PLIN5
PTPRE,PTPRE
STPG2,STPG2
FAM221A,FAM221A
SDK2,SDK2
ZNF354A,ZNF354A
TSPAN2,TSPAN2
IGLV2-23,IGLV2-23
LINC02631,LINC02631
PHLDB2,PHLDB2
TVP23B,TVP23B
SH2D6,SH2D6
DOP1B,DOP1B
